codigo,modalidade,grau,curso,uf,municipio,enade,cpc,cc,code_ies,nome_da_ies,mantenedora
1188336,Presencial,Tecnológico,Viticultura e enologia,SP,São Roque,-,-,4,1810,"(1810) INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO - IFSP","(14163) INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO"
121202,A Distância,Bacharelado,Administração,,Vários municípios,4,4,-,466,(466) UNIVERSIDADE ANHEMBI MORUMBI - UAMEm Supervisão - Procedimento Saneador sem Medida Cautelar:Portaria N. 831/2022,(321) ISCP - SOCIEDADE EDUCACIONAL LTDA.
9641,Presencial,Bacharelado,Administração,SP,São Paulo,3,3,-,466,(466) UNIVERSIDADE ANHEMBI MORUMBI - UAMEm Supervisão - Procedimento Saneador sem Medida Cautelar:Portaria N. 831/2022,(321) ISCP - SOCIEDADE EDUCACIONAL LTDA.
55806,Presencial,Bacharelado,Administração,SP,São Paulo,3,4,-,466,(466) UNIVERSIDADE ANHEMBI MORUMBI - UAMEm Supervisão - Procedimento Saneador sem Medida Cautelar:Portaria N. 831/2022,(321) ISCP - SOCIEDADE EDUCACIONAL LTDA.
120918,Presencial,Bacharelado,Administração,SP,São Paulo,4,4,-,466,(466) UNIVERSIDADE ANHEMBI MORUMBI - UAMEm Supervisão - Procedimento Saneador sem Medida Cautelar:Portaria N. 831/2022,(321) ISCP - SOCIEDADE EDUCACIONAL LTDA.
150206,Presencial,Bacharelado,Administração,SP,São Paulo,-,-,-,466,(466) UNIVERSIDADE ANHEMBI MORUMBI - UAMEm Supervisão - Procedimento Saneador sem Medida Cautelar:Portaria N. 831/2022,(321) ISCP - SOCIEDADE EDUCACIONAL LTDA.
1165301,Presencial,Bacharelado,Administração,SP,São Paulo,4,4,4,466,(466) UNIVERSIDADE ANHEMBI MORUMBI - UAMEm Supervisão - Procedimento Saneador sem Medida Cautelar:Portaria N. 831/2022,(321) ISCP - SOCIEDADE EDUCACIONAL LTDA.
1151692,A Distância,Tecnológico,Análise e desenvolvimento de sistemas,,Vários municípios,3,3,4,466,(466) UNIVERSIDADE ANHEMBI MORUMBI - UAMEm Supervisão - Procedimento Saneador sem Medida Cautelar:Portaria N. 831/2022,(321) ISCP - SOCIEDADE EDUCACIONAL LTDA.
1269976,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,São Paulo,2,3,5,466,(466) UNIVERSIDADE ANHEMBI MORUMBI - UAMEm Supervisão - Procedimento Saneador sem Medida Cautelar:Portaria N. 831/2022,(321) ISCP - SOCIEDADE EDUCACIONAL LTDA.
1603025,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,São Paulo,-,-,-,466,(466) UNIVERSIDADE ANHEMBI MORUMBI - UAMEm Supervisão - Procedimento Saneador sem Medida Cautelar:Portaria N. 831/2022,(321) ISCP - SOCIEDADE EDUCACIONAL LTDA.
1603026,Presencial,Tecnológico,Análise e desenvolvimento de sistemas,SP,São Paulo,-,-,-,466,(466) UNIVERSIDADE ANHEMBI MORUMBI - UAMEm Supervisão - Procedimento Saneador sem Medida Cautelar:Portaria N. 831/2022,(321) ISCP - SOCIEDADE EDUCACIONAL LTDA.
